Instance,n,LS,LI,Gap,Time
n100p1,100,1438.013959473946,1291.9039205448173,11.309667584839564,600.0228359699249
n100p2,100,2333.045532697749,1818.501054923731,28.294978239404877,600.0335659980774
n100p3,100,2258.251465973429,1699.0207488353444,32.914884501641865,600.0280997753143
n200p1,200,8400.886852637374,4945.250408265851,69.87788603374909,600.0698702335358
n200p2,200,14023.83234227003,4429.096969379819,216.629607326789,600.0762197971344
n200p3,200,13894.603925497115,4715.37539229568,194.66591245734367,600.0827379226685
n25p1,25,130.2310601538765,130.2310601538765,0.0,0.03992891311645508
n25p2,25,295.0321028350806,295.0321028350806,0.0,0.03914308547973633
n25p3,25,219.2859999733379,219.2859999733379,0.0,0.1113271713256836
n400p1,400,58216.320298751496,9305.588602070338,525.605996441744,600.1779541969299
n400p2,400,90483.85285047752,6248.320450825012,1348.13079870976,600.2526106834412
n400p3,400,91094.5816119432,6179.493456025478,1374.1431843919024,600.2518019676208
n50p1,50,695.3047718312248,695.3047718312248,0.0,1.5990221500396729
n50p2,50,604.2842475052547,604.2842475052547,0.0,9.96384596824646
n50p3,50,519.6026339891897,519.6026339891897,0.0,12.372978925704956
